,WOJ. DOLNOŚLĄSKIE  (93 miasta  towns),,,,,,,,
246901 1,Katowice,Katowice,16473,165,279190,1695,13,11,
240601 4,Kłobuck,Kłobucki,4746,47,12220,257,91,338,
240501 1,Knurów,Gliwicki,3390,34,35619,1051,150,119,
240406 4,Koniecpol,Częstochowski,3694,37,5355,145,131,541,
240902 4,Koziegłowy,Myszkowski,2671,27,2382,89,217,799,
241103 4,Krzanowice,Raciborski,311,3,2000,643,836,845,
240602 4,Krzepice,Kłobucki,2766,28,4101,148,201,620,
241105 4,Kuźnia Raciborska,Raciborski,3153,32,4598,146,174,584,
241403 1,Lędziny,Bieruńsko-lędziński,3158,32,16333,517,173,260,
240701 1,Lubliniec,Lubliniecki,8937,89,23347,261,34,182,
240801 1,Łaziska Górne,Mikołowski,2011,20,21116,1050,301,198,
241605 4,Łazy,Zawierciański,898,9,6378,710,605,492,
241302 1,Miasteczko Śląskie,Tarnogórski,6794,68,6961,102,65,473,
240802 1,Mikołów,Mikołowski,7921,79,41618,525,54,103,
247001 1,Mysłowice,Mysłowice,6566,66,71280,1086,67,47,
240901 1,Myszków,Myszkowski,7363,73,29379,399,59,148,
241606 4,Ogrodzieniec,Zawierciański,2856,29,4110,144,191,617,
240412 4,Olsztyn,Częstochowski,3425,34,2492,73,149,779,
240803 1,Orzesze,Mikołowski,8371,84,21986,263,45,188,
247101 1,Piekary Śląskie,Piekary Śląskie,3986,40,51707,1297,113,83,
241607 4,Pilica,Zawierciański,822,8,1761,214,635,871,
241601 1,Poręba,Zawierciański,3999,40,8104,203,111,441,
240414 4,Przyrów,Częstochowski,1206,12,1088,90,501,946,
241005 4,Pszczyna,Pszczyński,2234,22,25031,1120,260,171,
241501 1,Pszów,Wodzisławski,2046,20,13007,636,293,320,
240502 1,Pyskowice,Gliwicki,3122,31,17236,552,175,241,
241101 1,Racibórz,Raciborski,7504,75,49650,662,58,84,
241502 1,Radlin,Wodzisławski,1253,13,16829,1343,486,251,
241303 1,Radzionków,Tarnogórski,1322,13,16034,1213,465,264,
247201 1,Ruda Śląska,Ruda Śląska,7764,78,130302,1678,55,26,
247301 1,Rybnik,Rybnik,14827,148,130887,883,17,25,
241503 1,Rydułtowy,Wodzisławski,1496,15,20168,1348,414,206,
247401 1,Siemianowice Śląskie,Siemianowice Śląskie,2551,26,63401,2485,227,58,
240107 4,Siewierz,Będziński,3872,39,5730,148,118,522,
240310 4,Skoczów,Cieszyński,985,10,13423,1363,574,312,
240108 1,Sławków,Będziński,3667,37,6842,187,134,475,
247501 1,Sosnowiec,Sosnowiec,9116,91,187115,2053,33,17,
240506 4,Sośnicowice,Gliwicki,1168,12,1958,168,512,854,
240311 4,Strumień,Cieszyński,628,6,3558,567,711,668,
241608 4,Szczekociny,Zawierciański,1802,18,3329,185,338,695,
240201 1,Szczyrk,Bielski,3927,39,5283,135,115,544,
247601 1,Świętochłowice,Świętochłowice,1330,13,45434,3416,461,88,
241304 1,Tarnowskie Góry,Tarnogórski,8381,84,61321,732,44,62,
240507 4,Toszek,Gliwicki,974,10,3489,358,577,675,
247701 1,Tychy,Tychy,8181,82,122045,1492,48,28,
240302 1,Ustroń,Cieszyński,5904,59,15853,269,75,271,
240209 4,Wilamowice,Bielski,1040,10,3167,305,555,706,
240303 1,Wisła,Cieszyński,11016,110,10637,97,26,366,
241609 4,Włodowice,Zawierciański,2347,24,1152,49,243,938,
241504 1,Wodzisław Śląski,Wodzisławski,4951,49,44833,906,87,93,
240103 1,Wojkowice,Będziński,1278,13,8477,663,476,428,
240708 4,Woźniki,Lubliniecki,7074,71,4121,58,62,616,
247801 1,Zabrze,Zabrze,8042,80,153838,1913,50,22,
241602 1,Zawiercie,Zawierciański,8529,85,46106,541,40,86,
240905 4,Żarki,Myszkowski,2549,25,4325,170,228,600,
247901 1,Żory,Żory,6463,65,61774,956,69,61,
241701 1,Żywiec,Żywiecki,5048,50,29732,589,85,146,
,WOJ. ŚWIĘTOKRZYSKIE  (50 miast  towns),,,,,,,,
260402 4,Bodzentyn,Kielecki,865,9,2091,242,616,830,
261201 4,Bogoria,Staszowski,554,6,1077,194,742,947,
260101 4,Busko-Zdrój,Buski,1228,12,14365,1170,494,296,
260403 4,Chęciny,Kielecki,1413,14,4316,305,436,601,
260404 4,Chmielnik,Kielecki,780,8,3434,440,650,681,
260704 4,Ćmielów,Ostrowiecki,1334,13,2788,209,460,739,
260405 4,Daleszyce,Kielecki,1550,15,2750,177,399,746,
260801 4,Działoszyce,Pińczowski,192,2,847,441,864,970,
260502 4,Gowarczów,Konecki,1203,12,1324,110,502,926,
260602 4,Iwaniska,Opatowski,598,6,1215,203,723,934,
260202 4,Jędrzejów,Jędrzejowski,1137,11,14029,1234,524,302,
260303 4,Kazimierza Wielka,Kazimierski,614,6,4995,814,717,563,
266101 1,Kielce,Kielce,10965,110,182295,1663,27,18,
260903 4,Klimontów,Sandomierski,467,5,1758,376,779,872,
260503 4,Końskie,Konecki,1770,18,17384,982,346,236,
260904 4,Koprzywnica,Sandomierski,1790,18,2368,132,341,801,
260705 4,Kunów,Ostrowiecki,726,7,2699,372,671,754,
260407 4,Łagów,Kielecki,822,8,1521,185,635,904,
260408 4,Łopuszno,Kielecki,524,5,1445,276,752,909,
260203 4,Małogoszcz,Jędrzejowski,968,10,3356,347,580,690,
260412 4,Morawica,Kielecki,438,4,1768,404,794,870,
260413 4,Nowa Słupia,Kielecki,1397,14,1288,92,439,930,
260103 4,Nowy Korczyn,Buski,745,8,899,121,666,966,
261203 4,Oleśnica,Staszowski,1006,10,1710,170,567,880,
260304 4,Opatowiec,Kazimierski,546,6,308,56,745,983,
260604 4,Opatów,Opatowski,936,9,5937,634,592,509,
261204 4,Osiek,Staszowski,1743,17,1970,113,351,850,
260701 1,Ostrowiec Świętokrzyski,Ostrowiecki,4643,46,62093,1337,97,59,
260605 4,Ożarów,Opatowski,779,8,4203,540,651,611,
260104 4,Pacanów,Buski,712,7,1033,145,678,950,
260414 4,Piekoszów,Kielecki,846,8,2948,348,624,724,
260415 4,Pierzchnica,Kielecki,692,7,1269,183,688,931,
260804 4,Pińczów,Pińczowski,1433,14,9721,678,431,393,
261205 4,Połaniec,Staszowski,1741,17,7453,428,352,453,
260504 4,Radoszyce,Konecki,1717,17,2831,165,356,734,
260901 1,Sandomierz,Sandomierski,2869,29,21273,741,189,196,
260206 4,Sędziszów,Jędrzejowski,792,8,6108,771,645,503,
260305 4,Skalbmierz,Kazimierski,713,7,1187,166,677,935,
261001 1,Skarżysko-Kamienna,Skarżyski,6439,64,41224,640,71,104,
261101 1,Starachowice,Starachowicki,3182,32,44416,1396,172,94,
261207 4,Staszów,Staszowski,2688,27,13596,506,215,308,
260508 4,Stąporków,Konecki,1094,11,5091,465,541,557,
260106 4,Stopnica,Buski,455,5,1124,247,787,941,
261005 4,Suchedniów,Skarżyski,5942,59,7452,125,74,454,
261208 4,Szydłów,Staszowski,1623,16,967,60,380,955,
261105 4,Wąchock,Starachowicki,1602,16,2466,154,388,783,
260108 4,Wiślica,Buski,476,5,444,93,775,982,
261306 4,Włoszczowa,Włoszczowski,3030,30,9520,314,179,397,
260209 4,Wodzisław,Jędrzejowski,793,8,961,121,644,958,
260909 4,Zawichost,Sandomierski,2031,20,1596,79,296,895,
,WOJ. WARMIŃSKO-MAZURSKIE  (50 miast  towns),,,,,,,,
281401 4,Barczewo,Olsztyński,458,5,7377,1611,786,456,
280101 1,Bartoszyce,Bartoszycki,1179,12,21314,1808,509,195,
281601 4,Biała Piska,Piski,324,3,3673,1134,833,656,
281402 4,Biskupiec,Olsztyński,500,5,9924,1985,763,384,
280104 4,Bisztynek,Bartoszycki,216,2,2156,998,859,821,
280201 1,Braniewo,Braniewski,1241,12,16015,1290,487,266,
281403 4,Dobre Miasto,Olsztyński,486,5,9255,1904,769,410,
280301 1,Działdowo,Działdowski,1147,12,20125,1755,520,207,
286101 1,Elbląg,Elbląg,7982,80,112923,1415,52,31,
280501 1,Ełk,Ełcki,2105,21,59759,2839,278,65,
280203 4,Frombork,Braniewski,759,8,2029,267,659,837,
280601 1,Giżycko,Giżycki,1372,14,27310,1991,447,161,
281803 4,Gołdap,Gołdapski,1720,17,13184,767,355,315,
280102 1,Górowo Iławeckie,Bartoszycki,332,3,3627,1092,829,658,
280701 1,Iława,Iławski,2188,22,32188,1471,271,137,
281406 4,Jeziorany,Olsztyński,341,3,2943,863,825,725,
280801 1,Kętrzyn,Kętrzyński,1035,10,25113,2426,556,170,
280704 4,Kisielice,Iławski,337,3,2005,595,827,842,
280804 4,Korsze,Kętrzyński,403,4,3934,976,803,635,
280304 4,Lidzbark,Działdowski,568,6,7182,1264,738,462,
280901 1,Lidzbark Warmiński,Lidzbarski,1435,14,14459,1008,430,293,
280702 1,Lubawa,Iławski,1684,17,10633,631,365,367,
281002 4,Mikołajki,Mrągowski,932,9,3361,361,594,689,
281506 4,Miłakowo,Ostródzki,876,9,2399,274,613,793,
281507 4,Miłomłyn,Ostródzki,1238,12,2410,195,490,790,
280406 4,Młynary,Elbląski,276,3,1681,609,844,887,
281508 4,Morąg,Ostródzki,611,6,12757,2088,718,329,
281001 1,Mrągowo,Mrągowski,1480,15,20533,1387,418,202,
281104 4,Nidzica,Nidzicki,686,7,12629,1841,691,331,
281201 1,Nowe Miasto Lubawskie,Nowomiejski,1136,11,10089,888,525,381,
281304 4,Olecko,Olecki,1154,12,15721,1362,518,273,
286201 1,Olsztyn,Olsztyn,8832,88,167311,1894,35,20,
281409 4,Olsztynek,Olsztyński,769,8,7165,932,654,465,
280905 4,Orneta,Lidzbarski,963,10,8007,831,583,446,
281602 4,Orzysz,Piski,817,8,5279,646,638,545,
281501 1,Ostróda,Ostródzki,1415,14,31336,2215,435,141,
280407 4,Pasłęk,Elbląski,1141,11,11728,1028,523,351,
281704 4,Pasym,Szczycieński,1518,15,2390,157,407,796,
280205 4,Pieniężno,Braniewski,382,4,2420,634,811,788,
281603 4,Pisz,Piski,1008,10,17672,1753,566,232,
280805 4,Reszel,Kętrzyński,382,4,4045,1059,811,625,
281604 4,Ruciane-Nida,Piski,1708,17,4073,238,358,623,
280608 4,Ryn,Giżycki,413,4,2678,648,801,759,
280106 4,Sępopol,Bartoszycki,463,5,1890,408,782,857,
280706 4,Susz,Iławski,667,7,5245,786,698,548,
281701 1,Szczytno,Szczycieński,997,10,21878,2194,569,189,
280409 4,Tolkmicko,Elbląski,226,2,2395,1060,856,794,
281903 4,Węgorzewo,Węgorzewski,1088,11,10563,971,542,369,
281708 4,Wielbark,Szczycieński,1830,18,2979,163,333,721,
280707 4,Zalewo,Iławski,822,8,2026,246,635,838,
,WOJ. WIELKOPOLSKIE  (119 miast  towns),,,,,,,,
302201 4,Bojanowo,Rawicki,234,2,2790,1192,852,738,
300401 4,Borek Wielkopolski,Gostyński,629,7,2436,387,710,786,
300102 4,Budzyń,Chodzieski,4059,41,4668,115,108,580,
302103 4,Buk,Poznański,296,3,5502,1859,841,532,
302001 4,Chocz,Pleszewski,689,7,1625,236,689,891,
300101 1,Chodzież,Chodzieski,1277,13,17321,1356,477,238,
300201 1,Czarnków,Czarnkowsko-trzcianecki,1019,10,9916,973,563,385,
301102 4,Czempiń,Kościański,359,4,5096,1419,819,556,
300302 4,Czerniejewo,Gnieźnieński,1019,10,2555,251,563,772,
300904 4,Dąbie,Kolski,880,9,1703,194,611,883,
302703 4,Dobra,Turecki,184,2,1328,722,866,924,
302003 4,Dobrzyca,Pleszewski,1981,20,2922,148,307,728,
302602 4,Dolsk,Śremski,620,6,1550,250,714,900,
300301 1,Gniezno,Gnieźnieński,4060,41,63549,1565,107,57,
301001 4,Golina,Koniński,352,4,4284,1217,821,607,
302803 4,Gołańcz,Wągrowiecki,1264,13,3180,252,480,705,
300402 4,Gostyń,Gostyński,1110,11,19814,1785,533,208,
301803 4,Grabów nad Prosną,Ostrzeszowski,258,3,1908,740,845,856,
300502 4,Grodzisk Wielkopolski,Grodziski,1821,18,15124,831,334,284,
300601 4,Jaraczewo,Jarociński,1008,10,1368,136,566,918,
300602 4,Jarocin,Jarociński,2217,22,26286,1186,264,164,
303102 4,Jastrowie,Złotowski,7230,72,8258,114,61,435,
302202 4,Jutrosin,Rawicki,162,2,1850,1142,869,858,
301903 4,Kaczory,Pilski,1654,17,2777,168,373,742,
306101 1,Kalisz,Kalisz,6938,69,93137,1342,64,38,
300803 4,Kępno,Kępiński,779,8,13530,1737,651,311,
301004 4,Kleczew,Koniński,779,8,3893,500,651,638,
300305 4,Kłecko,Gnieźnieński,961,10,2520,262,585,776,
300906 4,Kłodawa,Kolski,431,4,5870,1362,797,516,
301202 4,Kobylin,Krotoszyński,487,5,3203,658,768,702,
300901 1,Koło,Kolski,1386,14,19417,1401,443,213,
306201 1,Konin,Konin,8230,82,67066,815,47,53,
302108 4,Kostrzyn,Poznański,798,8,9855,1235,643,387,
301101 1,Kościan,Kościański,901,9,23398,2597,603,181,
301203 4,Koźmin Wielkopolski,Krotoszyński,589,6,6117,1039,727,502,
300705 4,Koźminek,Kaliski,604,6,1823,302,721,861,
302109 4,Kórnik,Poznański,598,6,8141,1361,723,438,
303103 4,Krajenka,Złotowski,376,4,3498,930,813,671,
300403 4,Krobia,Gostyński,705,7,4513,640,680,588,
301204 4,Krotoszyn,Krotoszyński,2254,23,28126,1248,255,157,
301104 4,Krzywiń,Kościański,227,2,1662,732,855,890,
300204 4,Krzyż Wielkopolski,Czarnkowsko-trzcianecki,583,6,5882,1009,730,514,
302603 4,Książ Wielkopolski,Śremski,574,6,2745,478,735,747,
306301 1,Leszno,Leszno,3186,32,60051,1885,171,64,
302101 1,Luboń,Poznański,1351,14,32835,2430,454,134,
301502 4,Lwówek,Nowotomyski,316,3,2923,925,834,727,
301904 4,Łobżenica,Pilski,325,3,2764,850,832,743,
300104 4,Margonin,Chodzieski,515,5,2967,576,756,722,
301905 4,Miasteczko Krajeńskie,Pilski,196,2,1069,545,862,948,
302203 4,Miejska Górka,Rawicki,314,3,3054,973,835,713,
302804 4,Mieścisko,Wągrowiecki,1134,11,2402,212,526,791,
301403 4,Międzychód,Międzychodzki,698,7,9956,1426,685,382,
301806 4,Mikstat,Ostrzeszowski,252,3,1702,675,846,884,
303002 4,Miłosław,Wrzesiński,446,4,3391,760,790,687,
302110 4,Mosina,Poznański,1350,14,14501,1074,455,291,
302111 4,Murowana Goślina,Poznański,860,9,10287,1196,618,377,
303003 4,Nekla,Wrzesiński,1979,20,3826,193,308,643,
301702 4,Nowe Skalmierzyce,Ostrowski,158,2,4578,2897,871,585,
301504 4,Nowy Tomyśl,Nowotomyski,520,5,13591,2614,754,310,
301601 4,Oborniki,Obornicki,1408,14,17238,1224,438,240,
302401 1,Obrzycko,Szamotulski,374,4,2391,639,814,795,
301703 4,Odolanów,Ostrowski,476,5,4941,1038,775,568,
303105 4,Okonek,Złotowski,601,6,3616,602,722,663,
301505 4,Opalenica,Nowotomyski,642,6,9303,1449,708,407,
300708 4,Opatówek,Kaliski,868,9,3493,402,615,674,
301303 4,Osieczna,Leszczyński,476,5,2443,513,775,785,
302405 4,Ostroróg,Szamotulski,126,1,1836,1457,873,860,
301701 1,Ostrów Wielkopolski,Ostrowski,4190,42,69260,1653,104,49,
301807 4,Ostrzeszów,Ostrzeszowski,1213,12,13593,1121,498,309,
301901 1,Piła,Pilski,10268,103,70054,682,30,48,
302006 4,Pleszew,Pleszewski,1338,13,16610,1241,459,255,
302406 4,Pniewy,Szamotulski,932,9,8080,867,594,443,
302112 4,Pobiedziska,Poznański,1024,10,9891,966,561,386,
300406 4,Pogorzela,Gostyński,436,4,2032,466,795,836,
300407 4,Poniec,Gostyński,394,4,2918,741,807,729,
306401 1,Poznań,Poznań,26191,262,538439,2056,9,5,
300911 4,Przedecz,Kolski,298,3,1534,515,839,902,
302102 1,Puszczykowo,Poznański,1639,16,9292,567,378,408,
303004 4,Pyzdry,Wrzesiński,1216,12,2958,243,496,723,
300504 4,Rakoniewice,Grodziski,337,3,3590,1065,827,667,
301706 4,Raszków,Ostrowski,205,2,2099,1024,861,827,
302205 4,Rawicz,Rawicki,886,9,19655,2218,609,211,
301602 4,Rogoźno,Obornicki,1124,11,10771,958,528,362,
300806 4,Rychtal,Kępiński,396,4,1332,336,806,922,
301007 4,Rychwał,Koniński,970,10,2383,246,579,798,
301304 4,Rydzyna,Leszczyński,220,2,2869,1304,858,733,
301404 4,Sieraków,Międzychodzki,1408,14,5820,413,438,518,
302805 4,Skoki,Wągrowiecki,1120,11,4773,426,530,577,
302301 1,Słupca,Słupecki,1032,10,12952,1255,558,323,
301010 4,Sompolno,Koniński,621,6,3336,537,713,694,
300709 4,Stawiszyn,Kaliski,99,1,1356,1370,875,920,
302114 4,Stęszew,Poznański,569,6,5874,1032,737,515,
301201 1,Sulmierzyce,Krotoszyński,2920,29,2722,93,186,753,
302116 4,Swarzędz,Poznański,823,8,28254,3433,634,155,
300105 4,Szamocin,Chodzieski,467,5,3900,835,779,637,
302407 4,Szamotuły,Szamotulski,1108,11,18219,1644,535,224,
301012 4,Ślesin,Koniński,719,7,3098,431,674,711,
301105 4,Śmigiel,Kościański,530,5,5616,1060,749,525,
302604 4,Śrem,Śremski,1237,12,27817,2249,491,160,
302504 4,Środa Wielkopolska,Średzki,2199,22,24324,1106,268,176,
300207 4,Trzcianka,Czarnkowsko-trzcianecki,1830,18,16422,897,333,257,
300309 4,Trzemeszno,Gnieźnieński,546,5,7272,1332,745,460,
302707 4,Tuliszków,Turecki,700,7,3038,434,683,714,
302701 1,Turek,Turecki,1617,16,24463,1513,383,175,
301907 4,Ujście,Pilski,578,6,3355,580,733,691,
302801 1,Wągrowiec,Wągrowiecki,1782,18,25398,1425,343,168,
300208 4,Wieleń,Czarnkowsko-trzcianecki,461,5,5677,1231,784,523,
300505 4,Wielichowo,Grodziski,124,1,1665,1343,874,889,
300310 4,Witkowo,Gnieźnieński,830,8,7427,895,630,455,
302903 4,Wolsztyn,Wolsztyński,478,5,11935,2497,773,346,
302408 4,Wronki,Szamotulski,581,6,10505,1808,731,373,
303005 4,Września,Wrzesiński,1273,13,31759,2495,479,140,
301908 4,Wyrzysk,Pilski,412,4,5077,1232,802,558,
301909 4,Wysoka,Pilski,482,5,2511,521,770,777,
302308 4,Zagórów,Słupecki,344,4,2729,793,823,751,
301506 4,Zbąszyń,Nowotomyski,541,5,7016,1297,746,472,
301206 4,Zduny,Krotoszyński,620,6,4314,696,714,602,
303101 1,Złotów,Złotowski,1158,12,18138,1566,516,226,
300604 4,Żerków,Jarociński,216,2,2080,963,859,832,
,WOJ. ZACHODNIOPOMORSKIE  (66 miast  towns),,,,,,,,
321001 4,Barlinek,Myśliborski,1755,18,12935,737,348,324,
321502 4,Barwice,Szczecinecki,752,8,3475,462,661,677,
320101 1,Białogard,Białogardzki,2574,26,22418,871,224,185,
321503 4,Biały Bór,Szczecinecki,1283,13,2142,167,475,823,
320903 4,Bobolice,Koszaliński,477,5,3723,781,774,651,
321504 4,Borne Sulinowo,Szczecinecki,1815,18,4843,267,335,574,
320602 4,Cedynia,Gryfiński,258,3,1459,566,845,908,
321402 4,Chociwel,Stargardzki,367,4,2989,814,816,718,
320603 4,Chojna,Gryfiński,1352,13,7316,541,453,458,
320202 4,Choszczno,Choszczeński,958,10,13895,1450,586,303,
320301 4,Czaplinek,Drawski,1362,14,6663,489,450,481,
321702 4,Człopa,Wałecki,627,6,2158,344,712,820,
321301 1,Darłowo,Sławieński,2021,20,12512,619,299,334,
321003 4,Dębno,Myśliborski,1950,19,12885,661,312,326,
321801 4,Dobra,Łobeski,237,2,2019,852,850,839,
321403 4,Dobrzany,Stargardzki,534,5,2159,404,747,819,
320203 4,Drawno,Choszczeński,503,5,2156,429,761,821,
320302 4,Drawsko Pomorskie,Drawski,2233,22,11224,503,261,357,
320701 4,Dziwnów,Kamieński,652,7,2302,353,705,809,
320702 4,Golczewo,Kamieński,742,7,2504,337,667,778,
320402 4,Goleniów,Goleniowski,1178,12,21462,1822,510,192,
320803 4,Gościno,Kołobrzeski,570,6,2734,480,736,749,
320502 4,Gryfice,Gryficki,1240,12,15343,1237,488,281,
320604 4,Gryfino,Gryfiński,1182,12,19691,1666,508,210,
321405 4,Ińsko,Stargardzki,747,7,1772,237,665,869,
320303 4,Kalisz Pomorski,Drawski,1196,12,4039,338,505,626,
320703 4,Kamień Pomorski,Kamieński,1074,11,8291,772,547,434,
320103 4,Karlino,Białogardzki,940,9,5477,583,591,533,
320801 1,Kołobrzeg,Kołobrzeski,2739,27,43426,1585,206,99,
326101 1,Koszalin,Koszalin,10557,106,105540,1000,29,33,
321203 4,Lipiany,Pyrzycki,695,7,3798,546,686,646,
321802 4,Łobez,Łobeski,1285,13,9516,741,474,398,
320403 4,Maszewo,Goleniowski,554,5,3303,596,742,696,
320905 4,Mielno,Koszaliński,3357,34,2737,82,154,748,
320605 4,Mieszkowice,Gryfiński,526,5,3343,636,751,693,
320704 4,Międzyzdroje,Kamieński,516,5,4893,948,755,572,
321703 4,Mirosławiec,Wałecki,241,2,3018,1252,847,716,
320606 4,Moryń,Gryfiński,554,6,1622,293,742,892,
321004 4,Myślibórz,Myśliborski,1504,15,10353,688,412,376,
321103 4,Nowe Warpno,Policki,2451,24,1049,43,236,949,
320404 4,Nowogard,Goleniowski,1258,13,15695,1248,481,274,
320205 4,Pełczyce,Choszczeński,1307,13,2402,184,469,791,
320504 4,Płoty,Gryficki,412,4,3705,899,802,653,
320906 4,Polanów,Koszaliński,737,7,2824,383,668,735,
321104 4,Police,Policki,3730,37,29627,794,128,147,
321603 4,Połczyn-Zdrój,Świdwiński,722,7,7243,1003,673,461,
321205 4,Pyrzyce,Pyrzycki,3879,39,11824,305,117,349,
320206 4,Recz,Choszczeński,1240,12,2647,213,488,763,
321804 4,Resko,Łobeski,449,4,3892,867,789,639,
320907 4,Sianów,Koszaliński,1588,16,6564,413,390,484,
321302 1,Sławno,Sławieński,1583,16,11777,744,392,350,
321401 1,Stargard,Stargardzki,4808,48,66604,1385,90,54,
320407 4,Stepnica,Goleniowski,340,3,2520,741,826,776,
321411 4,Suchań,Stargardzki,357,4,1393,390,820,914,
326201 1,Szczecin,Szczecin,30062,301,389066,1294,5,7,
321501 1,Szczecinek,Szczecinecki,4848,48,37557,775,89,112,
321601 1,Świdwin,Świdwiński,2238,22,14547,650,258,289,
326301 1,Świnoujście,Świnoujście,20207,202,38904,193,10,108,
320608 4,Trzcińsko-Zdrój,Gryfiński,233,2,2114,907,853,826,
320508 4,Trzebiatów,Gryficki,1025,10,9314,909,560,406,
321704 4,Tuczno,Wałecki,921,9,1780,193,597,867,
320104 4,Tychowo,Białogardzki,393,4,2332,593,808,803,
321701 1,Wałcz,Wałecki,3817,38,23578,618,123,179,
321805 4,Węgorzyno,Łobeski,685,7,2628,384,692,768,
320706 4,Wolin,Kamieński,1447,15,4639,321,427,581,
320306 4,Złocieniec,Drawski,3227,32,12046,373,167,342,